,Combination,Count_ICC_above_0_8,Count_ICC_above_0_6
0,Mon_Sat,2,5
1,Mon_Sun,2,5
2,Tue_Thu,2,5
3,Tue_Wed,1,5
4,Mon_Fri,1,5
5,Sat_Sun,1,5
6,Tue_Wed_Sun,5,5
7,Wed_Thu_Sat,5,5
8,Tue_Thu_Sat,5,5
9,Mon_Thu_Sun,4,5
10,Mon_Wed_Thu,4,5
11,Mon_Tue_Thu,4,5
12,Mon_Tue_Wed_Fri,5,5
13,Tue_Thu_Fri_Sat,5,5
14,Tue_Wed_Thu_Fri,5,5
15,Mon_Tue_Thu_Fri,5,5
16,Mon_Tue_Wed_Sun,5,5
17,Thu_Fri_Sat_Sun,5,5
18,Mon_Tue_Wed_Thu_Sat,5,5
19,Mon_Tue_Wed_Thu_Sun,5,5
20,Tue_Thu_Fri_Sat_Sun,5,5
21,Mon_Tue_Wed_Fri_Sun,5,5
22,Mon_Tue_Wed_Fri_Sat,5,5
23,Wed_Thu_Fri_Sat_Sun,5,5
24,Mon_Tue_Wed_Thu_Fri_Sun,5,5
25,Mon_Tue_Wed_Thu_Sat_Sun,5,5
26,Mon_Tue_Wed_Fri_Sat_Sun,5,5
27,Mon_Tue_Thu_Fri_Sat_Sun,5,5
28,Mon_Wed_Thu_Fri_Sat_Sun,5,5
29,Tue_Wed_Thu_Fri_Sat_Sun,5,5
